"company","origin","robots_status","robots_readable","sitemap_declared","sitemap_reachable","llms_txt_reachable","json_ld_present","Googlebot_homepage_access","Googlebot_explicitly_named","Bingbot_homepage_access","Bingbot_explicitly_named","OAI-SearchBot_homepage_access","OAI-SearchBot_explicitly_named","GPTBot_homepage_access","GPTBot_explicitly_named","PerplexityBot_homepage_access","PerplexityBot_explicitly_named"
"adidas","https://www.adidas-group.com","","false","false","false","false","false","unknown","false","unknown","false","unknown","false","unknown","false","unknown","false"
"Airbus","https://www.airbus.com","200","true","true","true","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Allianz","https://www.allianz.com","403","false","false","false","false","false","unknown","false","unknown","false","unknown","false","unknown","false","unknown","false"
"BASF","https://www.basf.com","200","true","true","true","false","true","allowed","false","allowed","false","allowed","false","allowed","true","allowed","true"
"Bayer","https://www.bayer.com","403","false","false","false","false","false","unknown","false","unknown","false","unknown","false","unknown","false","unknown","false"
"Beiersdorf","https://www.beiersdorf.com","200","true","true","false","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"BMW","https://www.bmwgroup.com","200","true","true","true","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Brenntag","https://www.brenntag.com","200","true","true","false","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Commerzbank","https://www.commerzbank.com","200","true","true","false","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Continental","https://www.continental.com","200","true","true","false","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Daimler Truck","https://www.daimlertruck.com","200","true","true","true","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Deutsche Bank","https://www.db.com","200","true","true","true","true","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Deutsche Börse","https://www.deutsche-boerse.com","200","true","true","false","false","false","allowed","true","allowed","true","allowed","true","allowed","true","allowed","true"
"Deutsche Telekom","https://www.telekom.com","200","true","true","false","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"DHL Group","https://group.dhl.com","","false","false","false","false","false","unknown","false","unknown","false","unknown","false","unknown","false","unknown","false"
"E.ON","https://www.eon.com","403","false","false","false","false","false","unknown","false","unknown","false","unknown","false","unknown","false","unknown","false"
"Fresenius","https://www.fresenius.com","200","true","false","true","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Fresenius Medical Care","https://freseniusmedicalcare.com","200","true","true","false","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"GEA","https://www.gea.com","200","true","true","true","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Hannover Rück","https://www.hannover-re.com","200","true","true","false","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Heidelberg Materials","https://www.heidelbergmaterials.com","200","true","true","true","true","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Henkel","https://www.henkel.com","200","true","true","false","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"HOCHTIEF","https://www.hochtief.com","200","true","false","true","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Infineon","https://www.infineon.com","200","true","true","false","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Mercedes-Benz Group","https://group.mercedes-benz.com","403","false","false","false","false","false","unknown","false","unknown","false","unknown","false","unknown","false","unknown","false"
"Merck KGaA","https://www.merckgroup.com","","false","false","false","false","false","unknown","false","unknown","false","unknown","false","unknown","false","unknown","false"
"MTU Aero Engines","https://www.mtu.de","200","true","false","true","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Munich Re","https://www.munichre.com","200","true","true","true","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"QIAGEN","https://www.qiagen.com","200","true","true","false","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Rheinmetall","https://www.rheinmetall.com","200","true","true","true","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"RWE","https://www.rwe.com","200","true","true","true","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"SAP","https://www.sap.com","200","true","true","false","true","false","allowed","true","allowed","true","allowed","true","allowed","true","allowed","true"
"Scout24","https://www.scout24.com","200","true","true","true","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Siemens","https://www.siemens.com","200","true","true","true","true","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Siemens Energy","https://www.siemens-energy.com","200","true","true","true","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Siemens Healthineers","https://www.siemens-healthineers.com","200","true","true","false","false","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Symrise","https://www.symrise.com","200","true","false","true","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Volkswagen","https://www.volkswagen-group.com","200","true","true","true","true","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Vonovia","https://www.vonovia.de","200","true","true","true","true","true","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
"Zalando","https://corporate.zalando.com","200","true","false","true","false","false","allowed","false","allowed","false","allowed","false","allowed","false","allowed","false"
